Temperature (K),Applied field (T),Applied field angle (°),𝘯-value
19.99,0.3,30,24.41
19.99,0.3,35,24.51
20,0.3,40,24.93
19.99,0.3,45,25.38
19.98,0.3,50,25.65
19.98,0.3,55,25.55
19.98,0.3,60,26.12
19.99,0.3,65,26.24
19.99,0.3,70,26.96
19.98,0.3,75,26.79
19.98,0.3,78,26.95
19.98,0.3,81,26.95
19.99,0.3,84,27.15
19.98,0.3,86,26.83
19.98,0.3,88,27.08
19.99,0.3,90,27.16
19.98,0.3,92,26.88
19.99,0.3,94,26.96
19.98,0.3,96,26.58
19.98,0.3,99,26.54
19.98,0.3,102,26.62
19.99,0.3,105,26.29
19.99,0.3,110,25.81
19.99,0.3,115,25.57
19.99,0.3,120,25.29
19.98,0.3,125,24.63
19.99,0.3,130,24.53
19.98,0.3,135,24.17
19.99,0.3,140,23.94
19.98,0.3,145,23.67
19.99,0.3,150,23.47
19.99,0.3,155,23.53
19.99,0.3,160,23.42
19.99,0.3,165,23
19.99,0.3,170,23.2
19.98,0.3,175,23.49
20,0.3,180,23.26
19.99,0.3,185,23.52
19.99,0.3,190,23.72
19.99,0.3,195,23.51
19.99,0.3,200,23.98
19.99,0.3,205,23.84
19.99,0.3,210,24.01
19.99,0.3,215,24.17
19.99,0.3,220,24.52
19.99,0.3,225,24.89
19.99,0.3,230,24.85
19.98,0.3,235,25.58
19.99,0.3,240,25.73
19.99,0.5,0,21.92
19.99,0.5,5,21.7
19.99,0.5,10,21.87
19.99,0.5,15,22.09
19.99,0.5,20,22.31
19.99,0.5,25,22.15
20,0.5,30,21.99
19.99,0.5,35,22.22
19.99,0.5,40,22.33
19.99,0.5,45,22.46
19.98,0.5,50,23.06
19.99,0.5,55,23.36
19.99,0.5,60,23.72
19.98,0.5,65,24.5
19.98,0.5,70,24.96
19.98,0.5,75,25.38
19.98,0.5,78,26.01
19.99,0.5,81,26.04
19.98,0.5,84,26.16
19.99,0.5,86,26.04
19.99,0.5,88,26.35
19.98,0.5,90,25.98
19.98,0.5,92,25.91
19.99,0.5,94,26.17
19.98,0.5,96,25.77
19.98,0.5,99,25.55
19.99,0.5,102,25.1
19.98,0.5,105,24.4
19.99,0.5,110,23.7
19.98,0.5,115,23.02
19.99,0.5,120,22.37
19.99,0.5,125,21.98
20,0.5,130,21.68
19.99,0.5,135,21.83
19.99,0.5,140,21.49
19.99,0.5,145,21.62
19.99,0.5,150,21.55
19.99,0.5,155,21.57
20,0.5,160,21.6
19.99,0.5,165,21.86
19.99,0.5,170,21.97
19.99,0.5,175,21.88
19.99,0.5,180,21.69
19.99,0.5,185,21.94
19.99,0.5,190,21.85
19.99,0.5,195,21.87
19.99,0.5,200,21.84
19.99,0.5,205,22.08
19.99,0.5,210,22.22
19.99,0.5,215,22.17
19.99,0.5,220,21.9
19.99,0.5,225,21.78
19.99,0.5,230,22.59
19.99,0.5,235,22.7
19.99,0.5,240,23
19.99,0.7,0,21.72
19.99,0.7,5,21.86
19.99,0.7,10,21.52
19.99,0.7,15,21.47
19.99,0.7,20,21.81
19.99,0.7,25,21.38
20,0.7,30,21.34
19.99,0.7,35,21.33
20,0.7,40,21.19
19.99,0.7,45,21.17
19.99,0.7,50,20.94
19.99,0.7,55,21.29
19.99,0.7,60,21.55
19.99,0.7,65,22.14
19.99,0.7,70,22.91
19.98,0.7,75,23.81
19.98,0.7,78,24.36
19.99,0.7,81,24.46
19.98,0.7,84,25.19
19.98,0.7,86,25.55
19.98,0.7,88,25.16
19.98,0.7,90,25.19
19.99,0.7,92,24.92
19.99,0.7,94,24.82
19.98,0.7,96,24.78
19.98,0.7,99,23.88
19.98,0.7,102,22.99
19.99,0.7,105,22.73
19.99,0.7,110,21.64
19.99,0.7,115,21.21
19.99,0.7,120,20.45
19.99,0.7,125,20.52
19.99,0.7,130,20.51
19.99,0.7,135,20.51
19.99,0.7,140,20.54
20,0.7,145,20.42
19.99,0.7,150,20.94
20,0.7,155,20.69
19.99,0.7,160,21.17
20.01,0.7,165,21.39
20,0.7,170,21.37
19.99,0.7,175,21.63
20,0.7,180,21.01
19.99,0.7,185,21.7
20,0.7,190,21.7
19.99,0.7,195,21.44
19.99,0.7,200,21.26
19.99,0.7,205,21.51
20,0.7,210,21.15
19.99,0.7,215,20.9
19.99,0.7,220,21.19
19.99,0.7,225,20.96
19.99,0.7,230,20.83
19.99,0.7,235,21.19
19.99,0.7,240,21.53
19.99,1,0,21.78
20,1,5,21.69
19.99,1,10,21.74
19.99,1,15,21.43
19.99,1,20,21.39
19.99,1,25,21
20,1,30,21.1
19.99,1,35,21
19.99,1,40,21.05
20,1,45,20.51
20,1,50,20.09
20,1,55,19.68
19.99,1,60,19.79
19.99,1,65,19.34
19.99,1,70,20.61
19.99,1,75,21.63
19.98,1,78,22.34
19.98,1,81,23.4
19.99,1,84,23.67
19.98,1,86,24.36
19.98,1,88,24.46
19.98,1,90,24.78
19.98,1,92,23.88
19.98,1,94,23.98
19.98,1,96,22.77
19.99,1,99,22.02
