Starting CMA-ES: 9 variables, budget 400 evaluations, target B >= 10.0 T, uniformity <= 1.0%, hoop <= 400 MPa, coil-coil face gap >= 3 mm

Parallel mode: 6 worker processes per generation.
  [ 116] viol   f=   2.248  a=67.7 b=77.4 gap=31.5 (face=39.0mm) n=[684, 354, 589, 699, 719, 396]  tape=1.684km B=9.47T unif=0.508% hoop=379MPa
  [ 117] OK     f=   2.279  a=55.8 b=91.7 gap=19.2 (face=14.4mm) n=[867, 396, 591, 887, 870, 765]  tape=2.279km B=14.20T unif=0.926% hoop=395MPa
  [ 118] INFEAS f=9568.519  a=47.2 b=37.6 gap=20.7 (face=17.5mm) n=[844, 478, 897, 755, 821, 260]  no evaluation (geometry pre-check)
  [ 119] OK     f=   2.402  a=71.7 b=85.7 gap=34.4 (face=44.7mm) n=[693, 376, 869, 896, 814, 895]  tape=2.402km B=11.13T unif=0.111% hoop=400MPa
  [ 120] OK     f=   1.952  a=69.2 b=76.2 gap=33.2 (face=42.4mm) n=[815, 119, 802, 524, 896, 806]  tape=1.952km B=10.31T unif=0.058% hoop=348MPa
  [ 121] INFEAS f=2682.696  a=84.6 b=83.1 gap=17.6 (face=11.2mm) n=[714, 143, 762, 896, 759, 526]  no evaluation (geometry pre-check)
  [ 122] viol   f=  13.019  a=59.2 b=79.9 gap=24.2 (face=24.4mm) n=[196, 149, 520, 791, 746, 60]  tape=1.221km B=7.57T unif=0.708% hoop=253MPa
  [ 123] OK     f=   1.794  a=58.8 b=70.0 gap=21.2 (face=18.3mm) n=[441, 693, 660, 869, 839, 454]  tape=1.794km B=13.07T unif=0.884% hoop=400MPa
  [ 124] INFEAS f=1034.141  a=72.5 b=76.5 gap=22.4 (face=20.7mm) n=[602, 188, 715, 625, 766, 129]  no evaluation (geometry pre-check)
  [ 125] OK     f=   2.066  a=54.6 b=80.1 gap=24.4 (face=24.8mm) n=[878, 324, 883, 849, 744, 738]  tape=2.066km B=14.18T unif=0.828% hoop=333MPa
  [ 126] OK     f=   1.397  a=51.0 b=57.6 gap=21.5 (face=19.0mm) n=[301, 323, 898, 723, 888, 420]  tape=1.397km B=12.93T unif=0.742% hoop=317MPa
  [ 127] OK     f=   1.606  a=52.4 b=73.9 gap=23.2 (face=22.4mm) n=[704, 107, 795, 622, 377, 892]  tape=1.606km B=11.49T unif=0.807% hoop=310MPa
  [ 128] viol   f= 153.203  a=58.6 b=77.6 gap=14.5 (face=5.1mm) n=[773, 160, 725, 613, 655, 653]  tape=1.681km B=12.29T unif=1.870% hoop=400MPa
  [ 129] INFEAS f=3398.728  a=32.0 b=66.6 gap=21.0 (face=18.0mm) n=[255, 710, 355, 896, 700, 409]  no evaluation (geometry pre-check)
  [ 130] INFEAS f=6250.879  a=89.4 b=82.9 gap=37.9 (face=51.9mm) n=[586, 231, 442, 900, 769, 457]  no evaluation (geometry pre-check)
  [ 131] OK     f=   1.598  a=51.4 b=57.5 gap=18.7 (face=13.4mm) n=[762, 196, 844, 900, 718, 891]  tape=1.598km B=17.19T unif=0.546% hoop=349MPa
  [ 132] OK     f=   1.465  a=51.0 b=61.7 gap=23.0 (face=22.1mm) n=[580, 651, 794, 821, 845, 83]  tape=1.465km B=14.03T unif=0.380% hoop=340MPa
  [ 133] INFEAS f=1253.374  a=30.8 b=54.2 gap=20.9 (face=17.8mm) n=[681, 93, 781, 266, 704, 681]  no evaluation (geometry pre-check)
  [ 134] viol   f=  12.491  a=60.2 b=75.9 gap=28.6 (face=33.2mm) n=[724, 165, 419, 355, 764, 91]  tape=1.224km B=7.63T unif=0.756% hoop=294MPa
  [ 135] OK     f=   1.954  a=51.1 b=96.1 gap=23.0 (face=22.1mm) n=[868, 59, 650, 733, 632, 697]  tape=1.954km B=11.82T unif=0.754% hoop=335MPa
  [ 136] INFEAS f=91926.868  a=82.8 b=40.2 gap=30.3 (face=36.6mm) n=[539, 453, 837, 806, 548, 361]  no evaluation (geometry pre-check)
  [ 137] OK     f=   1.637  a=46.0 b=78.8 gap=20.6 (face=17.2mm) n=[551, 90, 645, 885, 899, 467]  tape=1.637km B=12.16T unif=0.926% hoop=296MPa
  [ 138] viol   f=  15.199  a=76.8 b=90.8 gap=26.6 (face=29.2mm) n=[416, 192, 711, 556, 256, 815]  tape=1.739km B=7.41T unif=0.768% hoop=359MPa
  [ 139] viol   f=   3.673  a=53.5 b=119.8 gap=30.7 (face=37.4mm) n=[202, 466, 778, 676, 870, 760]  tape=2.400km B=9.20T unif=0.384% hoop=297MPa
  [ 140] viol   f=   2.581  a=39.5 b=74.2 gap=19.2 (face=14.4mm) n=[667, 158, 679, 639, 887, 413]  tape=1.511km B=12.85T unif=1.073% hoop=268MPa
  [ 141] viol   f=   5.221  a=55.7 b=67.8 gap=18.9 (face=13.7mm) n=[602, 381, 900, 792, 803, 407]  tape=1.723km B=13.90T unif=1.132% hoop=383MPa
  [ 142] OK     f=   1.644  a=47.4 b=62.5 gap=20.6 (face=17.2mm) n=[863, 238, 669, 822, 900, 762]  tape=1.644km B=15.97T unif=0.892% hoop=304MPa
  [ 143] OK     f=   1.094  a=45.7 b=52.3 gap=18.1 (face=12.3mm) n=[600, 116, 716, 739, 840, 120]  tape=1.094km B=13.22T unif=0.590% hoop=265MPa
  [ 144] INFEAS f=1224.698  a=54.2 b=56.8 gap=30.6 (face=37.2mm) n=[547, 228, 584, 881, 408, 438]  no evaluation (geometry pre-check)
  [ 145] viol   f=  74.307  a=48.5 b=69.0 gap=14.4 (face=4.8mm) n=[782, 76, 900, 900, 686, 310]  tape=1.527km B=15.22T unif=1.603% hoop=320MPa
  [ 146] INFEAS f=3944.700  a=59.6 b=56.0 gap=16.2 (face=8.4mm) n=[781, 538, 563, 872, 753, 345]  no evaluation (geometry pre-check)
  [ 147] INFEAS f=2887.411  a=62.6 b=60.7 gap=26.7 (face=29.5mm) n=[361, 217, 783, 896, 574, 83]  no evaluation (geometry pre-check)
  [ 148] INFEAS f=8792.814  a=42.7 b=33.8 gap=20.7 (face=17.4mm) n=[879, 423, 893, 661, 755, 718]  no evaluation (geometry pre-check)
  [ 149] viol   f=   4.429  a=74.5 b=91.2 gap=32.4 (face=40.9mm) n=[831, 302, 709, 896, 513, 322]  tape=2.087km B=8.92T unif=0.682% hoop=370MPa
  [ 150] viol   f=1707.958  a=34.4 b=64.4 gap=16.6 (face=9.2mm) n=[822, 246, 440, 711, 630, 315]  tape=1.221km B=13.99T unif=3.921% hoop=247MPa
  [ 151] OK     f=   1.271  a=49.0 b=57.7 gap=20.0 (face=16.0mm) n=[460, 459, 697, 776, 580, 318]  tape=1.271km B=12.81T unif=0.927% hoop=400MPa
  [ 152] viol   f=   2.707  a=38.1 b=55.6 gap=19.7 (face=15.4mm) n=[563, 247, 669, 798, 566, 467]  tape=1.175km B=13.59T unif=1.088% hoop=254MPa
  [ 153] viol   f=  62.153  a=50.7 b=68.5 gap=17.2 (face=10.4mm) n=[693, 210, 823, 734, 739, 142]  tape=1.406km B=13.17T unif=1.551% hoop=310MPa
  [ 154] INFEAS f=36364.756  a=73.6 b=48.9 gap=15.1 (face=6.1mm) n=[815, 87, 333, 560, 652, 435]  no evaluation (geometry pre-check)
